Rank,Licensee Name,Total Units,Unique Addresses,Counties,Cities Served,Phone,Score,Owner Name,Owner Email,Owner LinkedIn,Website,Notes
578,TRUMAN ANNEX REAL ESTATE CO,46,2,Monroe,KEY WEST,305-296-7175,51.5,,,,,
616,"URBAN SELECT REALTY, INC",43,14,Broward,HOLLYWOOD,,51.5,,,,,
635,LATITUDE30 LLC,42,22,St. Johns,"ST AUGUSTINE, ST. AUGUSTINE",,51.0,,,,,
798,"KL FLORIDA, LLC",33,8,"Broward, Dade","HOLLYWOOD, MIAMI",6502298455,51.0,,,,,
875,BAY SUITES LLC,30,8,"Broward, Dade","FORT LAUDERDALE, MIAMI, MIAMI ",6476691010,50.8,,,,,
608,DESTIN REALTY INC,44,2,Okaloosa,DESTIN,(850)837-3985,50.7,,,,,
595,"BOOKBEACH.COM, LLC",45,10,Bay,PANAMA CITY BEACH,7703546442,50.2,,,,,
662,HB MIAMI VACATIONS RENTALS LLC,40,3,Broward,HOLLYWOOD,786.282.5128,50.2,,,,,
1029,REINSTEIN DENISE,25,17,Orange,ORLANDO,303-220-0183,50.2,,,,,
1012,ANNA MARIA ISLAND BEACH RENTALS INC,26,12,Manatee,BRADENTON BEACH,,49.9,,,,,
898,A&Y PROPERTY MANAGEMENT CORP,29,5,Dade,MIAMI,7863671959,49.6,,,,,
686,"GULF COAST REALTY & MANAGEMENT, INC.",40,2,Lee,"FORT MYERS BEACH, SANIBEL",9417821559,49.2,,,,,
736,ANCHOR MANAGEMENT INC,37,3,Bay,PANAMA CITY BEACH,(850)234-5245,49.2,,,,,
711,EPIQHOST,38,24,"Bay, Walton","MIRAMAR BEACH, PANAMA CITY BEACH , SANTA ROSA BEACH, SANTA ROSA BEACH ",,48.7,,,,,
957,BENICHAY BROTHERS LLC,27,10,Dade,"MIAMI, MIAMI BEACH, MIAMI BEACH ",7862441933,48.6,,,,,
1002,BRICKER LEWIS,26,13,"Okaloosa, Walton","DESTIN, FORT WALTON BEACH, FT WALTON BEACH, MIRAMAR BEACH, SANTA ROSA BEACH",706.490.3992,48.4,,,,,
950,"JONES REAL ESTATE AND RENTALS, LLC",28,4,Bay,"PANAMA CITY, PANAMA CITY BEACH",850 814-4548,48.0,,,,,
975,N&L VENTURES,27,17,"Okaloosa, Santa Rosa, Walton","DESTIN, MIRAMAR BEACH, SANTA ROSA BEACH",,48.0,,,,,
680,CUTE GULF VILLAS,40,28,Bay,"PANAMA CITY, PANAMA CITY BEACH",,47.2,,,,,
926,"GOVERNOR GROUP, LLC",29,9,Sarasota,SIESTA KEY,818-426-4509,47.1,,,,,
919,"STERLING SANDS VACATION RENTALS, LLC",29,3,Okaloosa,DESTIN,850-424-7272,46.8,,,,,
845,THINK PROPERTIES LLC,31,2,Dade,MIAMI BEACH,516.606.0900,46.1,,,,,
744,MODERNO BAY HARBOR ONE INC,36,3,"Broward, Dade","FORT LAUDERDALE, MIAMI BEACH",7866812569,45.9,,,,,
1040,"MARCO ESCAPES, INC.",25,8,Collier,MARCO ISLAND,303-220-0183,45.8,,,,,
797,"MATSENKO, ZHANNA",33,20,"Broward, Dade","HOLLYWOOD, SUNNY ISLES, SUNNY ISLES BEACH",,45.6,,,,,
921,ST. JAMES BAY OPERATIONS LLC,29,4,"Flagler, Franklin",CARRABELLE,2168325070,45.2,,,,,
537,BELLOISE REAL ESTATE,49,5,Pinellas,"CLEARWATER, CLEARWATER BEACH",7277091272,45.1,,,,,
571,SONDER HOSPITALITY USA INC,47,2,Orange,ORLANDO,407-620-2011,43.9,,,,,
918,"LEGACY MANAGEMENT COMPANY, LLC",29,8,Bay,"PANAMA CITY, PANAMA CITY BEACH",,43.7,,,,,
636,MOUNTJOY PROPERTY GROUP LLC,42,14,Nassau,FERNANDINA BEACH,,43.4,,,,,
859,LANGESKOV INTERNATIONAL LLC,31,6,Bay,PANAMA CITY BEACH,303-220-0183,43.2,,,,,
628,VISTANA PSL INC,42,3,St. Lucie,PORT ST LUCIE,4076906691,42.9,,,,,
860,NAVARRE VACATION RENTALS LLC,31,7,Santa Rosa,NAVARRE,,42.5,,,,,
719,ALL FLORIDA KEYS PROP MGMT INC,37,4,Monroe,KEY WEST,305-294-8877,42.3,,,,,
674,CLARK JOHN,40,13,St. Johns,ST AUGUSTINE,904.679.5425,42.2,,,,,
700,FLORIDA'S BEST ACCOMMODATIONS INC,38,3,Pinellas,"INDIAN ROCKS BEACH, ST PETERSBURG",727-517-9404,41.6,,,,,
